Date,Open,High,Low,Close,Volume,Adj Close
2016-09-05,465.209991,466.170013,463.440002,464.130005,000,464.130005
2016-09-02,455.309998,464.470001,454.25,463.600006,000,463.600006
2016-09-01,455.720001,458.679993,452.50,453.869995,000,453.869995
2016-08-31,455.559998,457.920013,454.220001,454.380005,000,454.380005
2016-08-30,453.730011,457.700012,453.369995,455.820007,000,455.820007
2016-08-29,451.290009,452.720001,448.549988,452.149994,000,452.149994
2016-08-26,449.450012,453.709991,448.429993,453.01001,000,453.01001
2016-08-25,450.429993,450.910004,447.959991,449.940002,000,449.940002
2016-08-24,449.670013,454.170013,448.459991,452.170013,000,452.170013
2016-08-23,449.420013,453.339996,449.209991,452.179993,000,452.179993
2016-08-22,448.040009,451.920013,446.119995,447.630005,000,447.630005
2016-08-19,450.910004,451.179993,446.920013,448.720001,000,448.720001
2016-08-18,451.130005,451.73999,450.089996,451.690002,000,451.690002
2016-08-17,451.029999,451.549988,446.350006,447.570007,000,447.570007
2016-08-16,452.48999,454.440002,450.910004,451.399994,000,451.399994
2016-08-15,454.880005,456.440002,453.98999,454.51001,000,454.51001
2016-08-12,455.029999,456.290009,453.600006,454.089996,000,454.089996
2016-08-11,452.570007,455.50,449.619995,455.50,000,455.50
2016-08-10,452.089996,453.940002,451.470001,452.01001,000,452.01001
2016-08-09,449.179993,453.950012,449.130005,453.799988,000,453.799988
2016-08-08,448.709991,450.299988,447.959991,449.070007,000,449.070007
2016-08-05,444.470001,449.48999,444.290009,448.119995,000,448.119995
2016-08-04,441.970001,446.029999,441.420013,444.470001,000,444.470001
2016-08-03,440.640015,441.670013,437.850006,440.359985,000,440.359985
2016-08-02,443.220001,444.149994,437.850006,438.609985,000,438.609985
2016-08-01,451.450012,451.670013,444.079987,444.970001,000,444.970001
2016-07-29,449.160004,450.160004,446.779999,449.829987,000,449.829987
2016-07-28,451.26001,453.410004,447.820007,447.820007,000,447.820007
2016-07-27,455.380005,456.779999,452.609985,452.980011,000,452.980011
2016-07-26,452.420013,454.790009,450.290009,454.059998,000,454.059998
2016-07-25,453.559998,456.369995,451.50,452.839996,000,452.839996
2016-07-22,451.220001,453.820007,449.299988,453.350006,000,453.350006
2016-07-21,453.690002,454.48999,448.850006,451.970001,000,451.970001
2016-07-20,450.570007,453.459991,448.359985,452.179993,000,452.179993
2016-07-19,447.589996,448.470001,444.320007,447.850006,000,447.850006
2016-07-18,447.690002,450.799988,446.190002,448.320007,000,448.320007
2016-07-15,447.130005,448.700012,444.929993,447.51001,000,447.51001
2016-07-14,448.309998,451.079987,447.019989,448.190002,000,448.190002
2016-07-13,444.700012,447.76001,444.450012,444.450012,000,444.450012
2016-07-12,441.130005,446.160004,441.119995,445.440002,000,445.440002
2016-07-11,437.959991,441.209991,435.079987,440.75,000,440.75
2016-07-08,425.429993,434.600006,424.299988,433.769989,000,433.769989
2016-07-07,424.670013,429.170013,424.670013,426.329987,000,426.329987
2016-07-06,427.380005,430.459991,419.450012,422.179993,000,422.179993
2016-07-05,431.950012,433.940002,429.00,430.410004,000,430.410004
2016-07-04,440.230011,440.429993,434.190002,435.119995,000,435.119995
2016-07-01,438.359985,440.299988,434.059998,438.850006,000,438.850006
2016-06-30,429.579987,436.630005,427.76001,435.880005,000,435.880005
